,f_c,root_depth,ET_p,ET_0,Kcb,ET_a,K_s,K_e,avg_h_c
58,0.7837276706323978,0.5015657161945815,6.6672,5.556,1.15,6.6672,1.0,0.050000000000000044,-1.0895342779694377
59,0.7837276706323978,0.5015657161945815,6.21388754000856,5.193,1.15,6.21388754000856,1.0,0.04658916618689794,-1.1519220433701018
60,0.7837276706323978,0.5015657161945815,6.0408,5.034,1.15,6.0408,1.0,0.050000000000000044,-1.13627332639696
61,0.7837276706323978,0.5015657161945815,6.14665487995195,5.128,1.15,6.120962878091962,0.9956433558536274,0.048645647416527125,-1.1629509154910556
62,0.7837276706323978,0.5015657161945815,5.3976,4.498,1.15,5.3976,1.0,0.050000000000000044,-1.117503825762734
63,0.7837276706323978,0.5015657161945815,6.528784101449796,5.454,1.15,6.4903136075792,0.9938664093572176,0.047063458278290546,-1.1713215594114061
64,0.7837276706323978,0.5015657161945815,6.168957051942077,5.18,1.15,5.5889846754996455,0.9026401919687038,0.04091834979576796,-1.2801246543944713
65,0.7837276706323978,0.5015657161945815,5.957999999999999,4.965,1.15,5.957999999999999,1.0,0.050000000000000044,-1.1248308687375843
66,0.7837276706323978,0.5015657161945815,6.1356,5.113,1.15,6.1356,1.0,0.050000000000000044,-1.1374105237945662
67,0.7837276706323978,0.5015657161945815,5.2068,4.339,1.15,5.2068,1.0,0.050000000000000044,-1.104176689424082
68,0.7837276706323978,0.5015657161945815,5.362305728076429,4.481,1.15,5.362305728076429,1.0,0.046676127667134325,-1.1690966814307229
69,0.7837276706323978,0.5015657161945815,6.48315763723032,5.403,1.15,6.48315763723032,1.0,0.04991812645388159,-1.14379419237817
70,0.7837276706323978,0.5015657161945815,5.726060988126177,4.782,1.15,5.615425312387656,0.9798818621027184,0.04741969638774097,-1.184952748846711
71,0.7837276706323978,0.5015657161945815,5.9748,4.979,1.15,5.9748,1.0,0.050000000000000044,-1.15874680463749
72,0.7837276706323978,0.5015657161945815,5.8584,4.882,1.15,5.8584,1.0,0.050000000000000044,-1.0811395108069728
73,0.7837276706323978,0.5015657161945815,6.1008,5.084,1.15,6.1008,1.0,0.050000000000000044,-1.057983264352134
74,0.7837276706323978,0.5015657161945815,6.444,5.37,1.15,6.444,1.0,0.050000000000000044,-1.0372432535240306
75,0.7837276706323978,0.5015657161945815,6.252,5.21,1.15,6.252,1.0,0.050000000000000044,-1.0716373167488555
76,0.7837276706323978,0.5015657161945815,6.472213174029337,5.395,1.15,6.472213174029337,1.0,0.049668799634724224,-1.1045412094413347
77,0.7837276706323978,0.5015657161945815,6.321599999999999,5.268,1.15,6.321599999999999,1.0,0.050000000000000044,-1.0089779361987221
78,0.7837276706323978,0.5015657161945815,6.0104470640295435,5.017,1.15,6.0104470640295435,1.0,0.04801615786915367,-1.0977471919278166
79,0.7837276706323978,0.5015657161945815,6.0984,5.082,1.15,6.0984,1.0,0.050000000000000044,-1.0492903941496874
80,0.7837276706323978,0.5015657161945815,5.930931712626383,4.962,1.15,5.930931712626383,1.0,0.04527039754663116,-1.1518890724321613
81,0.7837276706323978,0.5015657161945815,6.2424,5.202,1.15,6.2424,1.0,0.050000000000000044,-1.116763049604636
82,0.7837276706323978,0.5015657161945815,6.46122304535027,5.385,1.15,6.46122304535027,1.0,0.04985571872799827,-1.1446405383727623
83,0.7837276706323978,0.5015657161945815,6.4068000000000005,5.339,1.15,6.4068000000000005,1.0,0.050000000000000044,-1.0261657560688213
84,0.7837276706323978,0.5015657161945815,6.076853016107114,5.072,1.15,6.076853016107114,1.0,0.04811770822301164,-1.112422390152979
85,0.7837276706323978,0.5015657161945815,6.1392,5.116,1.15,6.1392,1.0,0.050000000000000044,-1.1050641005182122
86,0.7637276706323978,0.5015657161945815,5.66336176062419,4.752,1.1366666666666665,5.470499872136286,0.964294356970011,0.05511821561956892,-1.2017095472344212
87,0.7437276706323978,0.5015657161945815,4.6874956138525965,3.946,1.1233333333333333,4.312506948445341,0.9154034964436987,0.06457736455125779,-1.2569496657650676
88,0.7237276706323977,0.5015657161945815,4.9788,4.149,1.1099999999999999,4.935778522807539,0.9906584508168773,0.09000000000000008,-1.1735760022149353
89,0.7037276706323977,0.5015657161945815,5.708399999999999,4.757,1.0966666666666667,5.708399999999999,1.0,0.10333333333333328,-1.1081588114042662
90,0.6837276706323977,0.5015657161945815,5.8673735556140585,4.901,1.0833333333333333,5.844227012211479,0.9956404733597389,0.11384551906700513,-1.1720050940525275
