train/learning_rate,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,train/n_updates,time/fps,time/episodes
0.0003,25.14699363708496,288.0,1474,117.71210587,-24.38420867919922,357120,357019,242,1240
0.0003,0.8744819164276123,288.0,1486,119.18726639,-26.280136108398438,360000,359899,242,1250
0.0003,0.9633582234382629,288.0,1498,118.95189876999999,-24.62891960144043,362880,362779,242,1260
0.0003,4.957372665405273,288.0,1510,119.06771223000001,-24.096668243408203,365760,365659,242,1270
0.0003,0.29208195209503174,288.0,1522,119.52312136,-23.812488555908203,368640,368539,242,1280
0.0003,3.481621265411377,288.0,1534,119.09456833999997,-27.06871223449707,371520,371419,242,1290
0.0003,0.4817027449607849,288.0,1546,119.74181027,-24.87651824951172,374400,374299,242,1300
0.0003,1.013267159461975,288.0,1557,119.56523626,-24.71860122680664,377280,377179,242,1310
0.0003,3.2546133995056152,288.0,1569,118.76158120000002,-25.489076614379883,380160,380059,242,1320
0.0003,1.1166551113128662,288.0,1581,119.86049180000002,-23.623714447021484,383040,382939,242,1330
0.0003,0.5911746025085449,288.0,1593,118.91476532,-25.832435607910156,385920,385819,242,1340
0.0003,3.601588249206543,288.0,1604,118.69609628999999,-26.325218200683594,388800,388699,242,1350
0.0003,1.848848819732666,288.0,1616,119.98688284000002,-26.770832061767578,391680,391579,242,1360
0.0003,3.1624417304992676,288.0,1628,120.43561347000002,-25.672531127929688,394560,394459,242,1370
0.0003,1.2536513805389404,288.0,1639,118.2245715,-25.07073974609375,397440,397339,242,1380
0.0003,2.2835068702697754,288.0,1651,119.10835200999996,-24.91779327392578,400320,400219,242,1390
0.0003,3.4387757778167725,288.0,1663,118.94848329999999,-24.42483901977539,403200,403099,242,1400
0.0003,0.31158214807510376,288.0,1675,118.74272597999997,-23.97385025024414,406080,405979,242,1410
0.0003,0.3563481569290161,288.0,1686,117.68213505000001,-23.184436798095703,408960,408859,242,1420
0.0003,0.5745123028755188,288.0,1698,117.89327909,-26.55315589904785,411840,411739,242,1430
0.0003,0.47124046087265015,288.0,1709,118.87411455000002,-24.43273162841797,414720,414619,242,1440
0.0003,3.2109358310699463,288.0,1721,118.49417140999999,-24.776641845703125,417600,417499,242,1450
0.0003,4.212343215942383,288.0,1733,115.94343107,-26.292226791381836,420480,420379,242,1460
0.0003,2.2778921127319336,288.0,1744,115.77449396,-23.828632354736328,423360,423259,242,1470
0.0003,0.3401961028575897,288.0,1756,117.36689943000002,-23.655738830566406,426240,426139,242,1480
0.0003,5.816658973693848,288.0,1767,117.42644372,-24.84792709350586,429120,429019,242,1490
0.0003,0.6192355155944824,288.0,1779,118.10387805,-25.677200317382812,432000,431899,242,1500
0.0003,1.2507896423339844,288.0,1791,117.63740068999999,-26.619081497192383,434880,434779,242,1510
0.0003,0.976799726486206,288.0,1802,119.50958748000001,-25.56966209411621,437760,437659,242,1520
0.0003,0.4815772771835327,288.0,1814,119.27145343999999,-24.09768295288086,440640,440539,242,1530
0.0003,1.1563640832901,288.0,1826,119.23594064000001,-25.993188858032227,443520,443419,242,1540
0.0003,3.9799561500549316,288.0,1837,119.63215126000001,-25.240604400634766,446400,446299,242,1550
0.0003,0.42223262786865234,288.0,1849,121.62313733,-24.569786071777344,449280,449179,242,1560
0.0003,3.760348320007324,288.0,1861,122.32096962,-24.596681594848633,452160,452059,242,1570
0.0003,2.081472158432007,288.0,1872,121.79126286,-26.280038833618164,455040,454939,242,1580
