,mean_episode_rewards,std_episode_rewards,episodes,Q_values_policy,Q_values_target,steps,action_randomness
568,-2.0559439659118652,2.8914542198181152,568,-2.0297935009002686,-2.0802628993988037,143.0,0.5384615384615384
569,-2.0209789276123047,2.812232255935669,569,-1.80283522605896,-1.8429374694824219,143.0,0.5524475524475524
570,-2.6363637447357178,3.257150173187256,570,-1.656059741973877,-1.6908397674560547,143.0,0.5314685314685315
571,-1.734265685081482,2.5390682220458984,571,-1.5617674589157104,-1.5970027446746826,143.0,0.5384615384615384
572,-1.8181818723678589,2.40522837638855,572,-2.010026216506958,-2.042551040649414,143.0,0.5174825174825175
573,-1.6503496170043945,2.9262707233428955,573,-1.28336501121521,-1.3042033910751343,143.0,0.5944055944055944
574,-2.4405593872070312,2.6723718643188477,574,-2.044874668121338,-2.077411413192749,143.0,0.5314685314685315
575,-2.2657341957092285,2.9611730575561523,575,-0.9642823934555054,-0.9715743064880371,143.0,0.5244755244755245
576,-1.6083916425704956,2.722696542739868,576,-2.027109146118164,-2.035787582397461,143.0,0.4965034965034965
577,-2.1258740425109863,2.8057563304901123,577,-2.1451492309570312,-2.1467323303222656,143.0,0.4965034965034965
578,-1.804195761680603,2.923879623413086,578,-1.5835866928100586,-1.5806143283843994,143.0,0.5594405594405595
579,-1.5594406127929688,2.571012258529663,579,-2.1216015815734863,-2.120868682861328,143.0,0.5314685314685315
580,-1.8251748085021973,2.551058292388916,580,-2.343851089477539,-2.3437893390655518,143.0,0.5944055944055944
581,-1.006993055343628,2.589641809463501,581,-2.258589744567871,-2.2611680030822754,143.0,0.5384615384615384
582,-2.160839080810547,2.92720627784729,582,-2.178677797317505,-2.185572862625122,143.0,0.48951048951048953
583,-2.4895105361938477,2.800767183303833,583,-1.917447805404663,-1.9181065559387207,143.0,0.5034965034965035
584,-1.2727272510528564,2.712782144546509,584,-1.576941728591919,-1.5809335708618164,143.0,0.5104895104895105
585,-2.0489511489868164,2.6347029209136963,585,-1.7882893085479736,-1.7814457416534424,143.0,0.48951048951048953
586,-1.8321678638458252,2.811032295227051,586,-2.2814249992370605,-2.277360439300537,143.0,0.5594405594405595
587,-1.4895105361938477,2.579822540283203,587,-1.7355252504348755,-1.7249720096588135,143.0,0.46153846153846156
588,-1.811188817024231,2.6416540145874023,588,-1.1251890659332275,-1.1183161735534668,143.0,0.6153846153846154
589,-1.5174825191497803,3.099409341812134,589,-2.519573211669922,-2.519948720932007,143.0,0.5454545454545454
590,-2.0279719829559326,2.6862614154815674,590,-1.6696748733520508,-1.6711385250091553,143.0,0.5664335664335665
591,-1.3706294298171997,2.590132713317871,591,-1.6212161779403687,-1.6316182613372803,143.0,0.5034965034965035
592,-2.4405593872070312,2.7674994468688965,592,-1.4413783550262451,-1.4576914310455322,143.0,0.5244755244755245
593,-1.7762237787246704,2.6109495162963867,593,-1.6740303039550781,-1.6993858814239502,143.0,0.5804195804195804
594,-1.2237762212753296,2.5731797218322754,594,-1.6674875020980835,-1.6950438022613525,143.0,0.5594405594405595
595,-2.7342658042907715,2.8724663257598877,595,-1.108500599861145,-1.134621262550354,143.0,0.5524475524475524
596,-2.62937068939209,2.9129045009613037,596,-2.147857904434204,-2.1673641204833984,143.0,0.5384615384615384
597,-1.0909091234207153,2.5853517055511475,597,-1.829117774963379,-1.855400800704956,143.0,0.5174825174825175
598,-1.9510489702224731,3.0019309520721436,598,-1.5613298416137695,-1.587064266204834,143.0,0.5104895104895105
599,-1.8601398468017578,2.822490692138672,599,-2.395005226135254,-2.4152255058288574,143.0,0.5034965034965035
600,-2.0209789276123047,2.8196823596954346,600,-2.0520052909851074,-2.065922975540161,143.0,0.5244755244755245
601,-1.3286713361740112,2.675389528274536,601,-1.5842128992080688,-1.5959690809249878,143.0,0.5174825174825175
602,-1.1118881702423096,2.550482988357544,602,-1.4788193702697754,-1.4963468313217163,143.0,0.5034965034965035
603,-1.4125874042510986,2.3868188858032227,603,-1.325471043586731,-1.3410719633102417,143.0,0.4755244755244755
604,-1.734265685081482,2.675846576690674,604,-1.9132020473480225,-1.925581455230713,143.0,0.5104895104895105
605,-1.5944056510925293,2.486994981765747,605,-1.205602765083313,-1.2121917009353638,143.0,0.5244755244755245
606,-1.5664335489273071,2.4878993034362793,606,-1.5713245868682861,-1.5733203887939453,143.0,0.6083916083916084
607,-1.8461538553237915,2.658428430557251,607,-1.6364669799804688,-1.633010983467102,143.0,0.46153846153846156
608,-2.2727272510528564,2.8338160514831543,608,-1.9472033977508545,-1.9430354833602905,143.0,0.5594405594405595
609,-1.9860140085220337,2.6258158683776855,609,-1.5444412231445312,-1.5367827415466309,143.0,0.5034965034965035
610,-1.9020979404449463,2.6663262844085693,610,-1.9723986387252808,-1.967929482460022,143.0,0.5594405594405595
611,-2.4335663318634033,2.6617190837860107,611,-1.889505386352539,-1.8904669284820557,143.0,0.5174825174825175
612,-2.1118881702423096,2.7125837802886963,612,-1.622817039489746,-1.616146445274353,143.0,0.5314685314685315
613,-1.804195761680603,2.5889995098114014,613,-0.9690676927566528,-0.9550440311431885,143.0,0.4755244755244755
614,-1.4755244255065918,2.423175573348999,614,-1.8114162683486938,-1.7963147163391113,143.0,0.5174825174825175
615,-1.811188817024231,2.7909719944000244,615,-1.5492513179779053,-1.5409786701202393,143.0,0.6013986013986014
616,-1.8391607999801636,2.560185432434082,616,-2.2090723514556885,-2.202413558959961,143.0,0.5244755244755245
617,-1.8741258382797241,2.9562478065490723,617,-2.1084933280944824,-2.105095386505127,143.0,0.46853146853146854
618,-2.3286712169647217,2.734846830368042,618,-2.0126984119415283,-2.015059232711792,143.0,0.5874125874125874
619,-1.237762212753296,2.694096088409424,619,-2.0124752521514893,-2.016007423400879,143.0,0.5314685314685315
