,mean_rewards,std_rewards,values_q_net,values_target_net
512,0.28998792,0.42715868,0,0
513,-0.84982157,1.0672216,0,0
514,0.18288055,0.36920857,0,0
515,0.29036474,0.54176456,0,0
516,0.80130076,0.36724335,0,0
517,0.15026227,0.9249381,0,0
518,0.40434828,0.31362423,0,0
519,-1.1641169,2.6661618,0,0
520,0.3111005,0.38701323,0,0
521,0.0030301102,0.63671136,0,0
522,-1.3204808,2.9663475,0,0
523,0.5747281,0.38716686,0,0
524,-10.340393,9.301383,0,0
525,-1.3415493,1.7455822,0,0
526,0.47322685,0.58347946,0,0
527,0.41166326,0.91844183,0,0
528,0.6296847,0.785901,0,0
529,-0.19961104,0.62374985,0,0
530,-0.0896317,0.90122175,0,0
531,0.5297798,0.4641124,0,0
532,-0.36551228,0.8217433,0,0
533,0.14652877,0.45192277,0,0
534,0.5250547,0.40500143,0,0
535,-0.44773978,0.4870442,0,0
536,0.11992887,0.25974193,0,0
537,0.37217045,0.39768618,0,0
538,-1.5628235,1.8104018,0,0
539,0.07348522,0.48555276,0,0
540,0.39663622,0.4634633,0,0
541,0.26679307,0.56176203,0,0
542,0.5695075,0.31965393,0,0
543,0.102595255,0.5313415,0,0
544,0.4968498,0.49633065,0,0
545,-0.123419784,0.8612993,0,0
546,0.47824812,0.30951193,0,0
547,0.444782,0.4709682,0,0
548,-0.70838284,1.3764077,0,0
549,0.5784753,0.4428825,0,0
550,0.12301111,0.6221782,0,0
551,0.26562408,0.76136446,0,0
552,0.35172716,0.61191577,0,0
553,0.13870399,0.49593788,0,0
554,-0.036592964,0.79682374,0,0
555,-0.09894738,0.370871,0,0
556,0.44995475,0.5117266,0,0
557,0.532172,0.8293851,0,0
558,0.027314996,0.18024217,0,0
559,0.30215937,0.57125837,0,0
560,0.37805998,0.49296394,0,0
561,0.49483016,0.83071077,0,0
562,0.0071376185,0.7202188,0,0
563,0.8628115,0.322316,0,0
564,0.6133206,0.8182938,0,0
565,0.14092314,0.5902593,0,0
566,-0.04101872,0.5525286,0,0
567,0.7538572,0.4913741,0,0
568,0.7321482,0.6666162,0,0
569,-0.40905392,0.42072454,0,0
570,0.7588977,0.37343985,0,0
571,0.62576234,0.6219632,0,0
572,0.64034635,0.60824543,0,0
573,-0.9679348,2.130943,0,0
574,-0.23260269,0.51332605,0,0
575,0.44633707,0.2573961,0,0
576,-1.780338,1.6815042,0,0
577,0.44868833,0.63538337,0,0
578,-0.3124092,0.64922017,0,0
579,0.41957888,0.21462452,0,0
580,0.5648816,0.76932997,0,0
581,0.7098701,0.9760029,0,0
582,0.7936689,0.50293744,0,0
583,-0.38386694,1.2491279,0,0
584,0.6010753,0.49801525,0,0
585,0.41817844,0.29134735,0,0
586,0.5897282,0.1975949,0,0
587,0.41786402,0.38843143,0,0
588,0.70462114,0.43004474,0,0
589,0.57266694,0.22569075,0,0
590,0.49835524,0.38583365,0,0
591,-0.055451967,0.7104963,0,0
592,-0.18535748,0.7700187,0,0
593,0.67091787,0.4697467,0,0
594,0.2971892,0.48373544,0,0
595,0.796978,0.35654312,0,0
596,0.16259544,0.39937523,0,0
597,0.28507933,0.6290294,0,0
598,-0.22567807,0.73389435,0,0
599,0.2617372,0.52015585,0,0
600,0.019594552,0.54626805,0,0
601,0.30316266,0.446236,0,0
602,-3.3748677,3.3095345,0,0
603,0.46293432,0.3628011,0,0
604,0.25474766,0.70439714,0,0
605,0.853973,0.5872802,0,0
606,-0.7695703,1.8209244,0,0
607,-0.46697783,0.76858157,0,0
608,0.60145324,0.2836453,0,0
609,0.4126298,0.780554,0,0
610,0.08314587,0.6563067,0,0
611,0.062320415,0.38086587,0,0
612,-0.015861165,0.6705355,0,0
613,0.28224233,0.7293514,0,0
614,0.95278054,0.627405,0,0
615,0.14894542,0.6373518,0,0
616,0.8220987,0.5321156,0,0
617,0.51172054,0.6347156,0,0
618,0.60119945,0.7467507,0,0
619,0.18416975,0.34302592,0,0
620,0.7916784,0.72141486,0,0
621,0.42781878,0.81104136,0,0
622,0.7816726,0.7822023,0,0
623,0.02933549,0.40489185,0,0
624,0.10736062,0.5380198,0,0
625,-0.35242453,1.6712711,0,0
626,-0.088464506,0.45992786,0,0
627,0.29599893,0.46576002,0,0
628,0.28913552,0.45048994,0,0
629,0.4333821,0.9127168,0,0
630,0.22631907,0.7029658,0,0
631,0.016419511,0.4424673,0,0
632,0.45911092,0.46000335,0,0
633,0.7060024,0.56008,0,0
634,0.66727316,0.3431226,0,0
635,0.6689194,0.5506219,0,0
636,0.10439946,0.81737673,0,0
