,mean_episode_rewards,std_episode_rewards,episodes,steps
459,-820.5877021719626,1163.9804594249604,459,288.0
460,-736.7959548549643,1086.1462654742465,460,288.0
461,-710.4231983669159,1092.7156400966524,461,288.0
462,-702.0128645094054,1111.921669218525,462,288.0
463,-762.7348836002919,1173.9307810228765,463,288.0
464,-863.1026423688405,1135.3807678377666,464,288.0
465,-712.8161381096793,1091.9161874138802,465,288.0
466,-636.2445494590061,1056.8764655512405,466,288.0
467,-588.6521695168344,1067.3955371335228,467,288.0
468,-699.875501282634,1176.5389181943801,468,288.0
469,-605.4389122862015,1093.0223519612375,469,288.0
470,-605.3681381004855,1123.7953997948644,470,288.0
471,-790.5559844917012,1134.0700145922851,471,288.0
472,-626.6845032302076,1016.8278087755482,472,288.0
473,-690.560301439754,1150.2467665483553,473,288.0
474,-789.6438547876602,1083.5891806199006,474,288.0
475,-678.8704540687324,1016.0701694941109,475,288.0
476,-632.124305665427,1024.1564510893488,476,288.0
477,-648.6684943340035,1105.556452947078,477,288.0
478,-864.709629788387,1125.195304726001,478,288.0
479,-640.1361152048908,1114.8126093876112,479,288.0
480,-507.95872652858634,1024.0668992469932,480,288.0
481,-601.1599530294764,1149.973749517695,481,288.0
482,-874.1175964808268,1196.3655934765582,482,288.0
483,-652.767578124409,1038.398118732217,483,288.0
484,-753.7100810305009,1084.1266457400327,484,288.0
485,-605.6878912833189,1067.0248048828416,485,288.0
486,-653.5869169816283,1148.6605944849352,486,288.0
487,-659.0467741646034,1069.5069680321155,487,288.0
488,-585.8071671841556,996.4762840477105,488,288.0
489,-735.4485720665268,1163.456221140869,489,288.0
490,-688.4524405171287,1177.7237470200864,490,288.0
491,-550.7103926207851,1001.8495577548462,491,288.0
492,-654.119936593003,1073.976434806534,492,288.0
493,-652.6811980366233,1049.1577294911413,493,288.0
494,-686.1286802447345,1075.9396883726938,494,288.0
495,-622.8525985804513,1055.3447161609245,495,288.0
496,-744.1842967076415,1079.5508984247135,496,288.0
497,-664.2245832188726,993.3532923516908,497,288.0
498,-623.199645416592,1122.1777050959981,498,288.0
499,-464.8883405925769,1009.8486809106438,499,288.0
500,-746.9060069831717,1055.9093688425169,500,288.0
